[09/05/18 15:56:19 INFO] Training Sequence to Sequence with Attention model
[09/05/18 15:56:19 INFO] Loading data from '../data/-train.t7'...
[09/05/18 15:56:46 INFO]  * vocabulary size: source = 50004; target = 50004
[09/05/18 15:56:46 INFO]  * additional features: source = 0; target = 0
[09/05/18 15:56:46 INFO]  * maximum sequence length: source = 50; target = 51
[09/05/18 15:56:46 INFO]  * number of training sentences: 90939
[09/05/18 15:56:46 INFO]  * 1446 batches, max size: 64 (even), avg size: 62.890041, capacity: 100%
[09/05/18 15:56:46 INFO] Building model...
[09/05/18 15:56:46 INFO]  * Encoder:
[09/05/18 15:57:00 INFO]    - with word embeddings size: 500
[09/05/18 15:57:00 INFO]    - Simple LSTM Encoder: 2 layers, rnn_size 500, dropout 0.3
[09/05/18 15:57:00 INFO]  * Decoder:
[09/05/18 15:57:07 INFO]    - with word embeddings size: 500
[09/05/18 15:57:09 INFO]    - Global Attention: general
[09/05/18 15:57:10 INFO] Initializing parameters...
[09/05/18 15:57:20 INFO]  * number of parameters: 84822004
[09/05/18 15:57:20 INFO] Preparing memory optimization...
[09/05/18 15:57:23 INFO]  * sharing 69% of output/gradInput tensors memory between clones
[09/05/18 15:57:23 INFO] Start training...
[09/05/18 15:57:23 INFO] 
[09/05/18 16:44:31 INFO] Epoch 1 ; Iteration 50/1446 ; Learning rate 1.0000 ; Source tokens/s 19 ; Perplexity 227365.34
[09/05/18 17:16:49 INFO] Epoch 1 ; Iteration 100/1446 ; Learning rate 1.0000 ; Source tokens/s 27 ; Perplexity 11970.68
[09/05/18 17:48:47 INFO] Epoch 1 ; Iteration 150/1446 ; Learning rate 1.0000 ; Source tokens/s 30 ; Perplexity 4899.50
[09/05/18 18:19:40 INFO] Epoch 1 ; Iteration 200/1446 ; Learning rate 1.0000 ; Source tokens/s 28 ; Perplexity 2884.80
[09/05/18 18:51:16 INFO] Epoch 1 ; Iteration 250/1446 ; Learning rate 1.0000 ; Source tokens/s 29 ; Perplexity 2132.31
[09/05/18 19:24:09 INFO] Epoch 1 ; Iteration 300/1446 ; Learning rate 1.0000 ; Source tokens/s 29 ; Perplexity 1664.12
[09/05/18 19:55:02 INFO] Epoch 1 ; Iteration 350/1446 ; Learning rate 1.0000 ; Source tokens/s 30 ; Perplexity 1394.70
[09/05/18 20:27:38 INFO] Epoch 1 ; Iteration 400/1446 ; Learning rate 1.0000 ; Source tokens/s 27 ; Perplexity 1240.66
[09/05/18 20:59:43 INFO] Epoch 1 ; Iteration 450/1446 ; Learning rate 1.0000 ; Source tokens/s 28 ; Perplexity 1020.17
[09/05/18 21:32:08 INFO] Epoch 1 ; Iteration 500/1446 ; Learning rate 1.0000 ; Source tokens/s 29 ; Perplexity 949.14
[09/05/18 22:05:41 INFO] Epoch 1 ; Iteration 550/1446 ; Learning rate 1.0000 ; Source tokens/s 28 ; Perplexity 850.23
[09/05/18 22:34:39 INFO] Epoch 1 ; Iteration 600/1446 ; Learning rate 1.0000 ; Source tokens/s 29 ; Perplexity 790.51
[09/05/18 23:10:18 INFO] Epoch 1 ; Iteration 650/1446 ; Learning rate 1.0000 ; Source tokens/s 30 ; Perplexity 750.30
[09/05/18 23:42:29 INFO] Epoch 1 ; Iteration 700/1446 ; Learning rate 1.0000 ; Source tokens/s 29 ; Perplexity 668.84
[09/06/18 00:13:29 INFO] Epoch 1 ; Iteration 750/1446 ; Learning rate 1.0000 ; Source tokens/s 28 ; Perplexity 629.49
[09/06/18 00:44:34 INFO] Epoch 1 ; Iteration 800/1446 ; Learning rate 1.0000 ; Source tokens/s 28 ; Perplexity 590.40
[09/06/18 01:19:42 INFO] Epoch 1 ; Iteration 850/1446 ; Learning rate 1.0000 ; Source tokens/s 28 ; Perplexity 561.28
[09/06/18 01:54:05 INFO] Epoch 1 ; Iteration 900/1446 ; Learning rate 1.0000 ; Source tokens/s 29 ; Perplexity 517.61
[09/06/18 02:25:23 INFO] Epoch 1 ; Iteration 950/1446 ; Learning rate 1.0000 ; Source tokens/s 28 ; Perplexity 492.87
[09/06/18 02:56:44 INFO] Epoch 1 ; Iteration 1000/1446 ; Learning rate 1.0000 ; Source tokens/s 31 ; Perplexity 500.40
[09/06/18 03:27:42 INFO] Epoch 1 ; Iteration 1050/1446 ; Learning rate 1.0000 ; Source tokens/s 28 ; Perplexity 436.95
[09/06/18 03:59:04 INFO] Epoch 1 ; Iteration 1100/1446 ; Learning rate 1.0000 ; Source tokens/s 31 ; Perplexity 420.61
[09/06/18 04:32:26 INFO] Epoch 1 ; Iteration 1150/1446 ; Learning rate 1.0000 ; Source tokens/s 31 ; Perplexity 412.46
[09/06/18 05:03:51 INFO] Epoch 1 ; Iteration 1200/1446 ; Learning rate 1.0000 ; Source tokens/s 28 ; Perplexity 325.87
[09/06/18 05:35:59 INFO] Epoch 1 ; Iteration 1250/1446 ; Learning rate 1.0000 ; Source tokens/s 29 ; Perplexity 328.00
[09/06/18 06:08:38 INFO] Epoch 1 ; Iteration 1300/1446 ; Learning rate 1.0000 ; Source tokens/s 30 ; Perplexity 298.71
[09/06/18 06:40:56 INFO] Epoch 1 ; Iteration 1350/1446 ; Learning rate 1.0000 ; Source tokens/s 31 ; Perplexity 265.89
[09/06/18 07:32:49 INFO] Epoch 1 ; Iteration 1400/1446 ; Learning rate 1.0000 ; Source tokens/s 20 ; Perplexity 257.75
[09/06/18 08:21:05 INFO] Epoch 1 ; Iteration 1446/1446 ; Learning rate 1.0000 ; Source tokens/s 18 ; Perplexity 197.58
[09/06/18 09:09:19 INFO] Validation perplexity: 170.80
[09/06/18 09:09:19 INFO] Saving checkpoint to '../models/nts_epoch1_170.80.t7'...
[09/06/18 09:09:23 INFO] 
[09/06/18 09:41:08 INFO] Epoch 2 ; Iteration 50/1446 ; Learning rate 1.0000 ; Source tokens/s 28 ; Perplexity 157.47
[09/06/18 10:11:53 INFO] Epoch 2 ; Iteration 100/1446 ; Learning rate 1.0000 ; Source tokens/s 28 ; Perplexity 145.55
[09/06/18 10:59:13 INFO] Epoch 2 ; Iteration 150/1446 ; Learning rate 1.0000 ; Source tokens/s 22 ; Perplexity 127.07
[09/06/18 11:32:28 INFO] Epoch 2 ; Iteration 200/1446 ; Learning rate 1.0000 ; Source tokens/s 29 ; Perplexity 121.32
