[09/14/18 10:39:51 INFO] Training Sequence to Sequence with Attention model
[09/14/18 10:39:51 INFO] Loading data from '../data/-train2.t7'...
[09/14/18 10:39:55 INFO]  * vocabulary size: source = 50004; target = 50004
[09/14/18 10:39:55 INFO]  * additional features: source = 0; target = 0
[09/14/18 10:39:55 INFO]  * maximum sequence length: source = 50; target = 51
[09/14/18 10:39:55 INFO]  * number of training sentences: 80850
[09/14/18 10:39:55 INFO]  * 1291 batches, max size: 64 (even), avg size: 62.625871, capacity: 100%
[09/14/18 10:39:55 INFO] Building model...
[09/14/18 10:39:55 INFO]  * Encoder:
[09/14/18 10:39:58 INFO]    - with word embeddings size: 256
[09/14/18 10:39:58 INFO]    - Simple LSTM Encoder: 1 layers, rnn_size 256, dropout 0.3
[09/14/18 10:39:58 INFO]  * Decoder:
[09/14/18 10:39:59 INFO]    - with word embeddings size: 256
[09/14/18 10:39:59 INFO]    - Global Attention: general
[09/14/18 10:39:59 INFO] Initializing parameters...
[09/14/18 10:40:00 INFO]  * number of parameters: 39964500
[09/14/18 10:40:00 INFO] Preparing memory optimization...
[09/14/18 10:40:00 INFO]  * sharing 67% of output/gradInput tensors memory between clones
[09/14/18 10:40:00 INFO] Start training...
[09/14/18 10:40:00 INFO] 
[09/14/18 10:43:30 INFO] Epoch 1 ; Iteration 50/1291 ; Learning rate 1.0000 ; Source tokens/s 228 ; Perplexity 57392.42
[09/14/18 10:47:19 INFO] Epoch 1 ; Iteration 100/1291 ; Learning rate 1.0000 ; Source tokens/s 216 ; Perplexity 17414.62
[09/14/18 10:51:00 INFO] Epoch 1 ; Iteration 150/1291 ; Learning rate 1.0000 ; Source tokens/s 230 ; Perplexity 4380.15
[09/14/18 10:54:30 INFO] Epoch 1 ; Iteration 200/1291 ; Learning rate 1.0000 ; Source tokens/s 226 ; Perplexity 2700.98
[09/14/18 10:58:05 INFO] Epoch 1 ; Iteration 250/1291 ; Learning rate 1.0000 ; Source tokens/s 232 ; Perplexity 2034.32
[09/14/18 11:01:39 INFO] Epoch 1 ; Iteration 300/1291 ; Learning rate 1.0000 ; Source tokens/s 218 ; Perplexity 1811.11
[09/14/18 11:05:35 INFO] Epoch 1 ; Iteration 350/1291 ; Learning rate 1.0000 ; Source tokens/s 226 ; Perplexity 1566.50
[09/14/18 11:09:10 INFO] Epoch 1 ; Iteration 400/1291 ; Learning rate 1.0000 ; Source tokens/s 229 ; Perplexity 1333.17
[09/14/18 11:12:41 INFO] Epoch 1 ; Iteration 450/1291 ; Learning rate 1.0000 ; Source tokens/s 223 ; Perplexity 1206.03
[09/14/18 11:15:56 INFO] Epoch 1 ; Iteration 500/1291 ; Learning rate 1.0000 ; Source tokens/s 223 ; Perplexity 1041.57
[09/14/18 11:19:16 INFO] Epoch 1 ; Iteration 550/1291 ; Learning rate 1.0000 ; Source tokens/s 231 ; Perplexity 916.74
[09/14/18 11:23:16 INFO] Epoch 1 ; Iteration 600/1291 ; Learning rate 1.0000 ; Source tokens/s 238 ; Perplexity 855.68
[09/14/18 11:26:59 INFO] Epoch 1 ; Iteration 650/1291 ; Learning rate 1.0000 ; Source tokens/s 226 ; Perplexity 761.84
[09/14/18 11:30:57 INFO] Epoch 1 ; Iteration 700/1291 ; Learning rate 1.0000 ; Source tokens/s 225 ; Perplexity 705.71
[09/14/18 11:34:32 INFO] Epoch 1 ; Iteration 750/1291 ; Learning rate 1.0000 ; Source tokens/s 231 ; Perplexity 597.67
[09/14/18 11:38:18 INFO] Epoch 1 ; Iteration 800/1291 ; Learning rate 1.0000 ; Source tokens/s 234 ; Perplexity 571.78
[09/14/18 11:42:02 INFO] Epoch 1 ; Iteration 850/1291 ; Learning rate 1.0000 ; Source tokens/s 246 ; Perplexity 536.35
[09/14/18 11:45:23 INFO] Epoch 1 ; Iteration 900/1291 ; Learning rate 1.0000 ; Source tokens/s 224 ; Perplexity 444.29
[09/14/18 11:48:53 INFO] Epoch 1 ; Iteration 950/1291 ; Learning rate 1.0000 ; Source tokens/s 209 ; Perplexity 384.59
[09/14/18 11:52:16 INFO] Epoch 1 ; Iteration 1000/1291 ; Learning rate 1.0000 ; Source tokens/s 228 ; Perplexity 343.39
[09/14/18 11:56:00 INFO] Epoch 1 ; Iteration 1050/1291 ; Learning rate 1.0000 ; Source tokens/s 226 ; Perplexity 282.04
[09/14/18 11:59:25 INFO] Epoch 1 ; Iteration 1100/1291 ; Learning rate 1.0000 ; Source tokens/s 230 ; Perplexity 246.44
[09/14/18 12:03:26 INFO] Epoch 1 ; Iteration 1150/1291 ; Learning rate 1.0000 ; Source tokens/s 236 ; Perplexity 198.09
[09/14/18 12:07:02 INFO] Epoch 1 ; Iteration 1200/1291 ; Learning rate 1.0000 ; Source tokens/s 231 ; Perplexity 161.39
[09/14/18 12:10:55 INFO] Epoch 1 ; Iteration 1250/1291 ; Learning rate 1.0000 ; Source tokens/s 234 ; Perplexity 149.10
[09/14/18 12:13:34 INFO] Epoch 1 ; Iteration 1291/1291 ; Learning rate 1.0000 ; Source tokens/s 213 ; Perplexity 137.02
[09/14/18 12:20:52 INFO] Validation perplexity: 96.72
[09/14/18 12:20:52 INFO] Saving checkpoint to '../models/nts2_epoch1_96.72.t7'...
[09/14/18 12:20:54 INFO] 
[09/14/18 12:24:26 INFO] Epoch 2 ; Iteration 50/1291 ; Learning rate 1.0000 ; Source tokens/s 237 ; Perplexity 116.63
[09/14/18 12:28:14 INFO] Epoch 2 ; Iteration 100/1291 ; Learning rate 1.0000 ; Source tokens/s 230 ; Perplexity 102.31
[09/14/18 12:31:52 INFO] Epoch 2 ; Iteration 150/1291 ; Learning rate 1.0000 ; Source tokens/s 217 ; Perplexity 91.60
[09/14/18 12:35:38 INFO] Epoch 2 ; Iteration 200/1291 ; Learning rate 1.0000 ; Source tokens/s 220 ; Perplexity 91.52
[09/14/18 12:39:10 INFO] Epoch 2 ; Iteration 250/1291 ; Learning rate 1.0000 ; Source tokens/s 231 ; Perplexity 77.84
[09/14/18 12:42:45 INFO] Epoch 2 ; Iteration 300/1291 ; Learning rate 1.0000 ; Source tokens/s 231 ; Perplexity 71.57
[09/14/18 12:46:34 INFO] Epoch 2 ; Iteration 350/1291 ; Learning rate 1.0000 ; Source tokens/s 232 ; Perplexity 74.73
[09/14/18 12:50:21 INFO] Epoch 2 ; Iteration 400/1291 ; Learning rate 1.0000 ; Source tokens/s 222 ; Perplexity 65.25
[09/14/18 12:54:07 INFO] Epoch 2 ; Iteration 450/1291 ; Learning rate 1.0000 ; Source tokens/s 243 ; Perplexity 62.05
[09/14/18 12:57:49 INFO] Epoch 2 ; Iteration 500/1291 ; Learning rate 1.0000 ; Source tokens/s 231 ; Perplexity 60.62
[09/14/18 13:01:18 INFO] Epoch 2 ; Iteration 550/1291 ; Learning rate 1.0000 ; Source tokens/s 223 ; Perplexity 56.55
[09/14/18 13:04:56 INFO] Epoch 2 ; Iteration 600/1291 ; Learning rate 1.0000 ; Source tokens/s 225 ; Perplexity 53.87
[09/14/18 13:08:12 INFO] Epoch 2 ; Iteration 650/1291 ; Learning rate 1.0000 ; Source tokens/s 223 ; Perplexity 49.49
[09/14/18 13:11:45 INFO] Epoch 2 ; Iteration 700/1291 ; Learning rate 1.0000 ; Source tokens/s 212 ; Perplexity 48.36
[09/14/18 13:15:30 INFO] Epoch 2 ; Iteration 750/1291 ; Learning rate 1.0000 ; Source tokens/s 249 ; Perplexity 47.24
[09/14/18 13:19:12 INFO] Epoch 2 ; Iteration 800/1291 ; Learning rate 1.0000 ; Source tokens/s 225 ; Perplexity 43.98
[09/14/18 13:22:35 INFO] Epoch 2 ; Iteration 850/1291 ; Learning rate 1.0000 ; Source tokens/s 238 ; Perplexity 43.15
[09/14/18 13:26:12 INFO] Epoch 2 ; Iteration 900/1291 ; Learning rate 1.0000 ; Source tokens/s 228 ; Perplexity 44.10
[09/14/18 13:29:47 INFO] Epoch 2 ; Iteration 950/1291 ; Learning rate 1.0000 ; Source tokens/s 223 ; Perplexity 45.01
[09/14/18 13:33:33 INFO] Epoch 2 ; Iteration 1000/1291 ; Learning rate 1.0000 ; Source tokens/s 209 ; Perplexity 37.92
[09/14/18 13:36:51 INFO] Epoch 2 ; Iteration 1050/1291 ; Learning rate 1.0000 ; Source tokens/s 209 ; Perplexity 38.82
[09/14/18 13:40:08 INFO] Epoch 2 ; Iteration 1100/1291 ; Learning rate 1.0000 ; Source tokens/s 221 ; Perplexity 38.20
[09/14/18 13:43:25 INFO] Epoch 2 ; Iteration 1150/1291 ; Learning rate 1.0000 ; Source tokens/s 236 ; Perplexity 36.87
[09/14/18 13:47:30 INFO] Epoch 2 ; Iteration 1200/1291 ; Learning rate 1.0000 ; Source tokens/s 237 ; Perplexity 36.74
[09/14/18 13:51:39 INFO] Epoch 2 ; Iteration 1250/1291 ; Learning rate 1.0000 ; Source tokens/s 230 ; Perplexity 34.69
[09/14/18 13:54:37 INFO] Epoch 2 ; Iteration 1291/1291 ; Learning rate 1.0000 ; Source tokens/s 229 ; Perplexity 30.92
[09/14/18 14:01:55 INFO] Validation perplexity: 22.51
[09/14/18 14:01:55 INFO] Saving checkpoint to '../models/nts2_epoch2_22.51.t7'...
[09/14/18 14:01:56 INFO] 
[09/14/18 14:05:39 INFO] Epoch 3 ; Iteration 50/1291 ; Learning rate 1.0000 ; Source tokens/s 218 ; Perplexity 27.79
[09/14/18 14:09:18 INFO] Epoch 3 ; Iteration 100/1291 ; Learning rate 1.0000 ; Source tokens/s 233 ; Perplexity 26.68
[09/14/18 14:13:06 INFO] Epoch 3 ; Iteration 150/1291 ; Learning rate 1.0000 ; Source tokens/s 222 ; Perplexity 26.78
[09/14/18 14:16:53 INFO] Epoch 3 ; Iteration 200/1291 ; Learning rate 1.0000 ; Source tokens/s 231 ; Perplexity 26.97
[09/14/18 14:20:26 INFO] Epoch 3 ; Iteration 250/1291 ; Learning rate 1.0000 ; Source tokens/s 238 ; Perplexity 25.51
[09/14/18 14:24:32 INFO] Epoch 3 ; Iteration 300/1291 ; Learning rate 1.0000 ; Source tokens/s 238 ; Perplexity 27.42
[09/14/18 14:28:09 INFO] Epoch 3 ; Iteration 350/1291 ; Learning rate 1.0000 ; Source tokens/s 209 ; Perplexity 24.60
[09/14/18 14:31:51 INFO] Epoch 3 ; Iteration 400/1291 ; Learning rate 1.0000 ; Source tokens/s 231 ; Perplexity 25.52
[09/14/18 14:35:39 INFO] Epoch 3 ; Iteration 450/1291 ; Learning rate 1.0000 ; Source tokens/s 221 ; Perplexity 24.41
[09/14/18 14:39:01 INFO] Epoch 3 ; Iteration 500/1291 ; Learning rate 1.0000 ; Source tokens/s 221 ; Perplexity 22.84
[09/14/18 14:42:03 INFO] Epoch 3 ; Iteration 550/1291 ; Learning rate 1.0000 ; Source tokens/s 225 ; Perplexity 21.93
[09/14/18 14:45:52 INFO] Epoch 3 ; Iteration 600/1291 ; Learning rate 1.0000 ; Source tokens/s 229 ; Perplexity 24.92
[09/14/18 14:49:26 INFO] Epoch 3 ; Iteration 650/1291 ; Learning rate 1.0000 ; Source tokens/s 238 ; Perplexity 22.96
[09/14/18 14:53:03 INFO] Epoch 3 ; Iteration 700/1291 ; Learning rate 1.0000 ; Source tokens/s 229 ; Perplexity 22.47
[09/14/18 14:56:26 INFO] Epoch 3 ; Iteration 750/1291 ; Learning rate 1.0000 ; Source tokens/s 242 ; Perplexity 22.91
[09/14/18 15:00:10 INFO] Epoch 3 ; Iteration 800/1291 ; Learning rate 1.0000 ; Source tokens/s 234 ; Perplexity 20.98
[09/14/18 15:03:59 INFO] Epoch 3 ; Iteration 850/1291 ; Learning rate 1.0000 ; Source tokens/s 237 ; Perplexity 21.98
[09/14/18 15:07:33 INFO] Epoch 3 ; Iteration 900/1291 ; Learning rate 1.0000 ; Source tokens/s 223 ; Perplexity 20.93
[09/14/18 15:11:06 INFO] Epoch 3 ; Iteration 950/1291 ; Learning rate 1.0000 ; Source tokens/s 216 ; Perplexity 20.75
[09/14/18 15:14:11 INFO] Epoch 3 ; Iteration 1000/1291 ; Learning rate 1.0000 ; Source tokens/s 209 ; Perplexity 19.66
[09/14/18 15:17:59 INFO] Epoch 3 ; Iteration 1050/1291 ; Learning rate 1.0000 ; Source tokens/s 240 ; Perplexity 20.48
[09/14/18 15:21:47 INFO] Epoch 3 ; Iteration 1100/1291 ; Learning rate 1.0000 ; Source tokens/s 233 ; Perplexity 21.11
[09/14/18 15:25:18 INFO] Epoch 3 ; Iteration 1150/1291 ; Learning rate 1.0000 ; Source tokens/s 228 ; Perplexity 19.88
[09/14/18 15:28:51 INFO] Epoch 3 ; Iteration 1200/1291 ; Learning rate 1.0000 ; Source tokens/s 239 ; Perplexity 20.07
[09/14/18 15:32:11 INFO] Epoch 3 ; Iteration 1250/1291 ; Learning rate 1.0000 ; Source tokens/s 220 ; Perplexity 19.49
[09/14/18 15:35:16 INFO] Epoch 3 ; Iteration 1291/1291 ; Learning rate 1.0000 ; Source tokens/s 227 ; Perplexity 19.62
[09/14/18 15:42:33 INFO] Validation perplexity: 14.62
[09/14/18 15:42:33 INFO] Saving checkpoint to '../models/nts2_epoch3_14.62.t7'...
[09/14/18 15:42:35 INFO] 
[09/14/18 15:46:03 INFO] Epoch 4 ; Iteration 50/1291 ; Learning rate 1.0000 ; Source tokens/s 214 ; Perplexity 14.97
[09/14/18 15:49:39 INFO] Epoch 4 ; Iteration 100/1291 ; Learning rate 1.0000 ; Source tokens/s 236 ; Perplexity 16.58
[09/14/18 15:53:07 INFO] Epoch 4 ; Iteration 150/1291 ; Learning rate 1.0000 ; Source tokens/s 237 ; Perplexity 16.16
[09/14/18 15:56:37 INFO] Epoch 4 ; Iteration 200/1291 ; Learning rate 1.0000 ; Source tokens/s 257 ; Perplexity 14.90
[09/14/18 16:00:08 INFO] Epoch 4 ; Iteration 250/1291 ; Learning rate 1.0000 ; Source tokens/s 224 ; Perplexity 16.22
[09/14/18 16:03:36 INFO] Epoch 4 ; Iteration 300/1291 ; Learning rate 1.0000 ; Source tokens/s 222 ; Perplexity 14.63
[09/14/18 16:07:14 INFO] Epoch 4 ; Iteration 350/1291 ; Learning rate 1.0000 ; Source tokens/s 227 ; Perplexity 16.03
[09/14/18 16:10:51 INFO] Epoch 4 ; Iteration 400/1291 ; Learning rate 1.0000 ; Source tokens/s 229 ; Perplexity 15.43
[09/14/18 16:14:39 INFO] Epoch 4 ; Iteration 450/1291 ; Learning rate 1.0000 ; Source tokens/s 227 ; Perplexity 16.41
[09/14/18 16:18:24 INFO] Epoch 4 ; Iteration 500/1291 ; Learning rate 1.0000 ; Source tokens/s 231 ; Perplexity 16.86
[09/14/18 16:22:13 INFO] Epoch 4 ; Iteration 550/1291 ; Learning rate 1.0000 ; Source tokens/s 226 ; Perplexity 15.98
[09/14/18 16:26:26 INFO] Epoch 4 ; Iteration 600/1291 ; Learning rate 1.0000 ; Source tokens/s 208 ; Perplexity 17.29
[09/14/18 16:30:15 INFO] Epoch 4 ; Iteration 650/1291 ; Learning rate 1.0000 ; Source tokens/s 239 ; Perplexity 15.96
[09/14/18 16:33:52 INFO] Epoch 4 ; Iteration 700/1291 ; Learning rate 1.0000 ; Source tokens/s 227 ; Perplexity 14.77
[09/14/18 16:36:57 INFO] Epoch 4 ; Iteration 750/1291 ; Learning rate 1.0000 ; Source tokens/s 240 ; Perplexity 14.09
[09/14/18 16:40:31 INFO] Epoch 4 ; Iteration 800/1291 ; Learning rate 1.0000 ; Source tokens/s 227 ; Perplexity 15.35
[09/14/18 16:44:35 INFO] Epoch 4 ; Iteration 850/1291 ; Learning rate 1.0000 ; Source tokens/s 221 ; Perplexity 15.45
[09/14/18 16:48:04 INFO] Epoch 4 ; Iteration 900/1291 ; Learning rate 1.0000 ; Source tokens/s 218 ; Perplexity 14.01
[09/14/18 16:51:29 INFO] Epoch 4 ; Iteration 950/1291 ; Learning rate 1.0000 ; Source tokens/s 222 ; Perplexity 13.64
[09/14/18 16:55:02 INFO] Epoch 4 ; Iteration 1000/1291 ; Learning rate 1.0000 ; Source tokens/s 230 ; Perplexity 13.13
[09/14/18 16:58:28 INFO] Epoch 4 ; Iteration 1050/1291 ; Learning rate 1.0000 ; Source tokens/s 219 ; Perplexity 13.31
[09/14/18 17:02:11 INFO] Epoch 4 ; Iteration 1100/1291 ; Learning rate 1.0000 ; Source tokens/s 230 ; Perplexity 14.82
